imagepath,label,dataset
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard270.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard271.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard272.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard274.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard273.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard275.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard276.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard277.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard278.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard279.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard28.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass1.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass100.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass10.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass101.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass102.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass103.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass104.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass105.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass106.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass107.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass108.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass109.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass11.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass110.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass111.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass112.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass113.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass114.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass115.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass116.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass117.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass118.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass119.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass12.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass120.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass121.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass122.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass123.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass124.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass125.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass126.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass127.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass128.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass129.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass13.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass130.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass131.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass132.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass133.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass134.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass135.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass136.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass137.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass138.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass139.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass14.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass140.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass141.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass142.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass143.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass144.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass145.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass146.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass147.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass148.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass149.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass15.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass150.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass151.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass152.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass153.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass154.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass155.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass156.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass157.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass158.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass159.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass16.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass160.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass161.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass162.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass163.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass164.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass165.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass166.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass167.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass168.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass169.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass17.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass170.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass171.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass172.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass173.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass174.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass175.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass176.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass177.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass178.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass179.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass18.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass180.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass181.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass182.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass183.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass184.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass185.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass186.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass187.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass188.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass189.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass19.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass190.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass191.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass192.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass193.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass194.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass195.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass196.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass197.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass198.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass199.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass2.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass20.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass200.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass201.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass202.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass203.jpg,glass,test
/content/drive/Shareddrives/yeja/Garbage classification/glass/glass204.jpg,glass,test
